Name,first,follow,<kw-int>,<kw-double>,<var>,<kw-def>,<kw-if>,<kw-while>,<kw-return>,<kw-print>,<int>,<double>,<comma>
"S	",<kw-int> <kw-double> <var> def <kw-if> <kw-while> <kw-return> <kw-print>,$,{exp} ;,,,,,,,,,,
"{exp}	",<kw-int> <kw-double> <var> def <kw-if> <kw-while> <kw-return> <kw-print>,;,,,,,,,,,,,
"{type}		",<kw-int> <kw-double> <var>,,,,,,,,,,,,
"{item}			",<bool> | <int> | <var> ,,,,,,,,,,,,
"{op}			",+ | - | * | / | % | < | > | >= | <= | <> | == | and | or,,,,,,,,,,,,
{arr-index},[ eps,<eq> <comma>,,,,,,,,,,,
"{equ}			",<bool> | <int> | <var>,") , ;",,,,,,,,,,,
"{equ'}			",{op} eps,") , ;",,,,,,,,,,,
"A			",<double> | <int> | <var>,,,,,,,,,,,,
"{dec}			",<kw-int> <kw-double> <var>,;,,,,,,,,,,,
"{dec'}			",", eps",;,,,,,,,,,,,
"{set}			",<var>,,,,,,,,,,,,
"{func-dec}			",def,,,,,,,,,,,,
"B			", <kw-int> <kw-double> <var> eps,),,,,,,,,,,,
"B'			",", eps",),,,,,,,,,,,
"{func}			",<var>,,,,,,,,,,,,
"C			",<bool> <int> <var> eps,),,,,,,,,,,,
"C'			",", eps",),,,,,,,,,,,
"{branch}			",<kw-if>,,,,,,,,,,,,
"D			",else eps,,,,,,,,,,,,
"{loop}			",<kw-while>,,,,,,,,,,,,
"{return}			",<kw-return>,,,,,,,,,,,,
"{print}			",<kw-print>,,,,,,,,,,,,
